"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"2309","CA",6,101,"Sutter County, California",94038
"2310","CA",6,103,"Tehama County, California",62585
"2311","CA",6,105,"Trinity County, California",13160
"2312","CA",6,107,"Tulare County, California",449747
"2313","CA",6,109,"Tuolumne County, California",50840
"2314","CA",6,111,"Ventura County, California",834057
"2315","CA",6,113,"Yolo County, California",205756
"2316","CA",6,115,"Yuba County, California",71111
"3938","CO",8,1,"Adams County, Colorado",467743
"3939","CO",8,3,"Alamosa County, Colorado",15823
"3940","CO",8,5,"Arapahoe County, Colorado",603211
"3941","CO",8,7,"Archuleta County, Colorado",12068
"3942","CO",8,9,"Baca County, Colorado",3600
"3943","CO",8,11,"Bent County, Colorado",3624
"3944","CO",8,13,"Boulder County, Colorado",307948
"3945","CO",8,14,"Broomfield County, Colorado",60364
"3946","CO",8,15,"Chaffee County, Colorado",17236
"3947","CO",8,17,"Cheyenne County, Colorado",1957
"3948","CO",8,19,"Clear Creek County, Colorado",9009
"3949","CO",8,21,"Conejos County, Colorado",8208
"3950","CO",8,23,"Costilla County, Colorado",3581
"3951","CO",8,25,"Crowley County, Colorado",4421
"3952","CO",8,27,"Custer County, Colorado",4286
"3953","CO",8,29,"Delta County, Colorado",29217
"3954","CO",8,31,"Denver County, Colorado",643117
"3955","CO",8,33,"Dolores County, Colorado",1862
"3956","CO",8,35,"Douglas County, Colorado",306019
"3957","CO",8,37,"Eagle County, Colorado",52480
"3958","CO",8,39,"Elbert County, Colorado",23761
"3959","CO",8,41,"El Paso County, Colorado",624178
"3960","CO",8,43,"Fremont County, Colorado",36178
"3961","CO",8,45,"Garfield County, Colorado",56345
"3962","CO",8,47,"Gilpin County, Colorado",5552
"3963","CO",8,49,"Grand County, Colorado",14350
"3964","CO",8,51,"Gunnison County, Colorado",15599
"3965","CO",8,53,"Hinsdale County, Colorado",874
"3966","CO",8,55,"Huerfano County, Colorado",6319
"3967","CO",8,57,"Jackson County, Colorado",1330
"3968","CO",8,59,"Jefferson County, Colorado",545981
"3969","CO",8,61,"Kiowa County, Colorado",1434
"3970","CO",8,63,"Kit Carson County, Colorado",7068
"3971","CO",8,65,"Lake County, Colorado",7305
"3972","CO",8,67,"La Plata County, Colorado",52684
"3973","CO",8,69,"Larimer County, Colorado",315783
"3974","CO",8,71,"Las Animas County, Colorado",14003
"3975","CO",8,73,"Lincoln County, Colorado",3763
"3976","CO",8,75,"Logan County, Colorado",21314
"3977","CO",8,77,"Mesa County, Colorado",146558
"3978","CO",8,79,"Mineral County, Colorado",733
"3979","CO",8,81,"Moffat County, Colorado",12993
"3980","CO",8,83,"Montezuma County, Colorado",25495
"3981","CO",8,85,"Montrose County, Colorado",40413
"3982","CO",8,87,"Morgan County, Colorado",27889
"3983","CO",8,89,"Otero County, Colorado",18375
"3984","CO",8,91,"Ouray County, Colorado",4580
"3985","CO",8,93,"Park County, Colorado",16041
"3986","CO",8,95,"Phillips County, Colorado",4306
"3987","CO",8,97,"Pitkin County, Colorado",17363
"3988","CO",8,99,"Prowers County, Colorado",12050
"3989","CO",8,101,"Pueblo County, Colorado",157647
"3990","CO",8,103,"Rio Blanco County, Colorado",6618
"3991","CO",8,105,"Rio Grande County, Colorado",11525
