"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"8323","IL",17,65,"Hamilton County, Illinois",8322,4087,4235,"43.2","42.1","44.6"
"8324","IL",17,67,"Hancock County, Illinois",18738,9249,9489,"46.2","44.3","47.6"
"8325","IL",17,69,"Hardin County, Illinois",4228,2184,2044,"46.6","44.0","48.3"
"8326","IL",17,71,"Henderson County, Illinois",7042,3428,3614,"49.1","49.2","49.0"
"8327","IL",17,73,"Henry County, Illinois",49883,24752,25131,"42.2","40.9","43.6"
"8328","IL",17,75,"Iroquois County, Illinois",29053,14192,14861,"44.1","43.0","45.2"
"8329","IL",17,77,"Jackson County, Illinois",59534,29883,29651,"30.1","29.0","32.0"
"8330","IL",17,79,"Jasper County, Illinois",9635,4805,4830,"42.9","42.8","43.0"
"8331","IL",17,81,"Jefferson County, Illinois",38578,19817,18761,"40.7","39.2","42.8"
"8332","IL",17,83,"Jersey County, Illinois",22625,11058,11567,"42.3","41.2","43.0"
"8333","IL",17,85,"Jo Daviess County, Illinois",22397,11254,11143,"48.2","46.7","49.2"
"8334","IL",17,87,"Johnson County, Illinois",12829,7267,5562,"43.2","41.2","46.3"
"8335","IL",17,89,"Kane County, Illinois",524886,261189,263697,"35.9","35.0","36.8"
"8336","IL",17,91,"Kankakee County, Illinois",112221,55164,57057,"37.3","36.1","38.5"
"8337","IL",17,93,"Kendall County, Illinois",120036,59632,60404,"33.8","33.5","34.0"
"8338","IL",17,95,"Knox County, Illinois",52112,26159,25953,"42.1","40.4","44.5"
"8339","IL",17,97,"Lake County, Illinois",702898,350658,352240,"37.6","35.9","39.1"
"8340","IL",17,99,"LaSalle County, Illinois",112579,56448,56131,"41.6","40.3","43.2"
"8341","IL",17,101,"Lawrence County, Illinois",16665,9997,6668,"40.7","35.9","48.6"
"8342","IL",17,103,"Lee County, Illinois",35027,18524,16503,"42.2","40.7","44.3"
"8343","IL",17,105,"Livingston County, Illinois",37689,19002,18687,"41.3","40.2","42.7"
"8344","IL",17,107,"Logan County, Illinois",29956,15194,14762,"39.7","37.0","41.9"
"8345","IL",17,109,"McDonough County, Illinois",32009,15654,16355,"30.7","29.4","32.5"
"8346","IL",17,111,"McHenry County, Illinois",307357,153090,154267,"39.3","38.2","40.2"
"8347","IL",17,113,"McLean County, Illinois",173114,84278,88836,"32.7","32.2","33.2"
"8348","IL",17,115,"Macon County, Illinois",109193,52336,56857,"40.6","39.2","41.8"
"8349","IL",17,117,"Macoupin County, Illinois",46844,23174,23670,"42.6","41.3","44.0"
"8350","IL",17,119,"Madison County, Illinois",267356,130741,136615,"39.5","38.0","40.9"
"8351","IL",17,121,"Marion County, Illinois",38665,18929,19736,"41.7","40.3","43.4"
"8352","IL",17,123,"Marshall County, Illinois",12173,6004,6169,"45.9","44.6","46.6"
"8353","IL",17,125,"Mason County, Illinois",14126,6994,7132,"44.7","43.3","45.8"
"8354","IL",17,127,"Massac County, Illinois",15016,7244,7772,"43.7","42.1","44.8"
"8355","IL",17,129,"Menard County, Illinois",12611,6158,6453,"42.5","40.5","44.8"
"8356","IL",17,131,"Mercer County, Illinois",16107,7994,8113,"44.3","43.1","45.3"
"8357","IL",17,133,"Monroe County, Illinois",33539,16452,17087,"42.1","40.5","43.2"
"8358","IL",17,135,"Montgomery County, Illinois",29348,15282,14066,"42.2","39.3","45.4"
"8359","IL",17,137,"Morgan County, Illinois",35129,17761,17368,"41.0","39.1","43.8"
"8360","IL",17,139,"Moultrie County, Illinois",14927,7301,7626,"41.0","39.0","42.8"
"8361","IL",17,141,"Ogle County, Illinois",52397,26103,26294,"41.5","40.1","43.1"
"8362","IL",17,143,"Peoria County, Illinois",187112,90646,96466,"36.8","35.5","38.3"
"8363","IL",17,145,"Perry County, Illinois",21810,11572,10238,"40.8","39.5","42.9"
"8364","IL",17,147,"Piatt County, Illinois",16495,8171,8324,"43.3","42.4","44.3"
"8365","IL",17,149,"Pike County, Illinois",16144,8053,8091,"42.6","40.9","44.5"
"8366","IL",17,151,"Pope County, Illinois",4331,2242,2089,"47.7","46.5","49.6"
"8367","IL",17,153,"Pulaski County, Illinois",5871,2868,3003,"43.5","41.3","45.7"
"8368","IL",17,155,"Putnam County, Illinois",5822,2942,2880,"46.0","45.0","47.1"
"8369","IL",17,157,"Randolph County, Illinois",33069,17902,15167,"41.7","40.2","44.5"
"8370","IL",17,159,"Richland County, Illinois",16127,8015,8112,"42.4","40.8","44.7"
"8371","IL",17,161,"Rock Island County, Illinois",147161,72422,74739,"40.0","38.5","41.7"
"8372","IL",17,163,"St. Clair County, Illinois",267029,128729,138300,"37.7","36.1","39.1"
"8373","IL",17,165,"Saline County, Illinois",24783,12036,12747,"42.4","40.6","44.5"
"8374","IL",17,167,"Sangamon County, Illinois",199016,95552,103464,"39.7","38.0","40.9"
"8375","IL",17,169,"Schuyler County, Illinois",7311,3894,3417,"44.7","44.4","45.3"
"8376","IL",17,171,"Scott County, Illinois",5198,2530,2668,"43.5","43.0","44.0"
"8377","IL",17,173,"Shelby County, Illinois",22115,11012,11103,"44.4","42.8","46.2"
"8378","IL",17,175,"Stark County, Illinois",5859,2891,2968,"45.9","45.3","46.1"
"8379","IL",17,177,"Stephenson County, Illinois",46625,22568,24057,"44.3","43.4","45.4"
"8380","IL",17,179,"Tazewell County, Illinois",135697,66990,68707,"40.5","39.1","41.7"
"8381","IL",17,181,"Union County, Illinois",17551,8746,8805,"43.6","40.6","44.9"
"8382","IL",17,183,"Vermilion County, Illinois",80368,39901,40467,"40.0","38.4","41.7"
"8383","IL",17,185,"Wabash County, Illinois",11652,5685,5967,"42.7","41.9","44.0"
"8384","IL",17,187,"Warren County, Illinois",17701,8601,9100,"40.2","38.2","41.5"
"8385","IL",17,189,"Washington County, Illinois",14457,7242,7215,"42.6","42.1","43.3"
"8386","IL",17,191,"Wayne County, Illinois",16555,8201,8354,"42.4","41.4","43.8"
"8387","IL",17,193,"White County, Illinois",14464,7006,7458,"44.5","43.4","45.4"
"8388","IL",17,195,"Whiteside County, Illinois",57525,28306,29219,"42.7","41.7","43.7"
"8389","IL",17,197,"Will County, Illinois",683995,339609,344386,"36.6","35.7","37.5"
"8390","IL",17,199,"Williamson County, Illinois",67121,33323,33798,"41.0","40.0","42.2"
"8391","IL",17,201,"Winnebago County, Illinois",290439,141776,148663,"39.2","38.1","40.3"
"8392","IL",17,203,"Woodford County, Illinois",39106,19366,19740,"39.9","38.8","41.0"
"9824","IN",18,1,"Adams County, Indiana",34642,17102,17540,"33.8","32.3","36.2"
"9825","IN",18,3,"Allen County, Indiana",363453,177301,186152,"35.6","34.6","36.6"
"9826","IN",18,5,"Bartholomew County, Indiana",79488,39534,39954,"38.1","36.6","39.5"
"9827","IN",18,7,"Benton County, Indiana",8752,4367,4385,"40.4","37.5","42.3"
"9828","IN",18,9,"Blackford County, Indiana",12476,6155,6321,"43.3","41.8","45.8"
"9829","IN",18,11,"Boone County, Indiana",60511,29997,30514,"38.8","37.0","40.0"
"9830","IN",18,13,"Brown County, Indiana",15011,7521,7490,"48.3","47.0","49.5"
"9831","IN",18,15,"Carroll County, Indiana",20014,9947,10067,"41.5","40.8","42.4"
"9832","IN",18,17,"Cass County, Indiana",38476,19243,19233,"40.1","38.5","42.0"
"9833","IN",18,19,"Clark County, Indiana",113181,55549,57632,"38.7","37.3","39.8"
"9834","IN",18,21,"Clay County, Indiana",26686,13079,13607,"40.4","40.1","40.9"
"9835","IN",18,23,"Clinton County, Indiana",32835,16165,16670,"38.4","37.2","40.1"
"9836","IN",18,25,"Crawford County, Indiana",10591,5347,5244,"43.1","43.5","42.4"
"9837","IN",18,27,"Daviess County, Indiana",32411,16232,16179,"35.0","33.2","36.5"
"9838","IN",18,29,"Dearborn County, Indiana",49679,24766,24913,"41.7","40.9","42.4"
"9839","IN",18,31,"Decatur County, Indiana",26240,12985,13255,"39.5","38.8","40.3"
"9840","IN",18,33,"DeKalb County, Indiana",42449,21132,21317,"38.6","38.0","39.4"
"9841","IN",18,35,"Delaware County, Indiana",117335,56294,61041,"34.8","33.6","35.9"
"9842","IN",18,37,"Dubois County, Indiana",42291,21113,21178,"41.2","40.0","42.3"
"9843","IN",18,39,"Elkhart County, Indiana",200685,99175,101510,"35.2","34.1","36.0"
"9844","IN",18,41,"Fayette County, Indiana",23773,11747,12026,"42.2","40.4","44.2"
"9845","IN",18,43,"Floyd County, Indiana",75900,36794,39106,"39.6","38.6","40.6"
"9846","IN",18,45,"Fountain County, Indiana",16888,8461,8427,"42.3","39.9","43.9"
"9847","IN",18,47,"Franklin County, Indiana",22935,11446,11489,"41.2","39.8","42.7"
"9848","IN",18,49,"Fulton County, Indiana",20527,10256,10271,"41.7","40.3","43.3"
"9849","IN",18,51,"Gibson County, Indiana",33668,16855,16813,"40.0","38.6","41.6"
"9850","IN",18,53,"Grant County, Indiana",68896,32990,35906,"40.0","39.0","40.8"
"9851","IN",18,55,"Greene County, Indiana",32815,16298,16517,"42.3","41.3","43.4"
"9852","IN",18,57,"Hamilton County, Indiana",296635,144898,151737,"36.1","35.5","36.7"
"9853","IN",18,59,"Hancock County, Indiana",71328,34905,36423,"39.8","38.9","41.7"
"9854","IN",18,61,"Harrison County, Indiana",39230,19612,19618,"41.7","40.7","42.8"
"9855","IN",18,63,"Hendricks County, Indiana",153435,76496,76939,"37.4","36.3","38.5"
"9856","IN",18,65,"Henry County, Indiana",49146,25371,23775,"42.2","40.9","43.8"
"9857","IN",18,67,"Howard County, Indiana",82765,39916,42849,"41.5","39.4","42.9"
"9858","IN",18,69,"Huntington County, Indiana",36863,18116,18747,"39.8","38.8","40.9"
"9859","IN",18,71,"Jackson County, Indiana",43471,21713,21758,"38.3","37.7","39.3"
"9860","IN",18,73,"Jasper County, Indiana",33448,16591,16857,"38.8","38.0","39.7"
"9861","IN",18,75,"Jay County, Indiana",21255,10443,10812,"39.5","37.3","41.2"
"9862","IN",18,77,"Jefferson County, Indiana",32453,15535,16918,"40.7","40.2","41.1"
"9863","IN",18,79,"Jennings County, Indiana",28113,14134,13979,"39.4","38.5","41.0"
"9864","IN",18,81,"Johnson County, Indiana",145645,71670,73975,"37.3","36.2","38.6"
"9865","IN",18,83,"Knox County, Indiana",38062,19264,18798,"39.2","35.3","41.8"
"9866","IN",18,85,"Kosciusko County, Indiana",77983,38870,39113,"37.9","36.6","39.7"
"9867","IN",18,87,"LaGrange County, Indiana",38084,19233,18851,"31.1","29.7","32.4"
"9868","IN",18,89,"Lake County, Indiana",491596,237712,253884,"38.1","36.6","39.5"
"9869","IN",18,91,"LaPorte County, Indiana",111280,57575,53705,"39.9","38.1","42.2"
"9870","IN",18,93,"Lawrence County, Indiana",45814,22637,23177,"41.9","41.1","43.3"
"9871","IN",18,95,"Madison County, Indiana",130280,65208,65072,"39.8","38.5","41.3"
"9872","IN",18,97,"Marion County, Indiana",926335,446372,479963,"34.1","33.1","35.2"
"9873","IN",18,99,"Marshall County, Indiana",46962,23335,23627,"39.5","37.5","41.5"
"9874","IN",18,101,"Martin County, Indiana",10262,5176,5086,"42.5","41.4","43.8"
"9875","IN",18,103,"Miami County, Indiana",36211,19482,16729,"40.1","38.2","42.1"
"9876","IN",18,105,"Monroe County, Indiana",142404,70830,71574,"28.4","27.6","29.3"
"9877","IN",18,107,"Montgomery County, Indiana",38172,19378,18794,"40.2","38.1","42.3"
"9878","IN",18,109,"Morgan County, Indiana",69403,34338,35065,"40.9","40.2","41.8"
"9879","IN",18,111,"Newton County, Indiana",14057,7100,6957,"43.0","42.5","43.6"
"9880","IN",18,113,"Noble County, Indiana",47546,23826,23720,"37.9","37.3","39.1"
"9881","IN",18,115,"Ohio County, Indiana",6033,3015,3018,"46.0","44.6","46.8"
"9882","IN",18,117,"Orange County, Indiana",19725,9783,9942,"40.9","40.1","42.1"
"9883","IN",18,119,"Owen County, Indiana",21192,10705,10487,"43.9","42.9","44.8"
"9884","IN",18,121,"Parke County, Indiana",17107,8098,9009,"41.8","42.5","41.1"
"9885","IN",18,123,"Perry County, Indiana",19414,10407,9007,"41.4","38.8","43.8"
"9886","IN",18,125,"Pike County, Indiana",12687,6373,6314,"43.4","42.8","44.2"
"9887","IN",18,127,"Porter County, Indiana",166570,81958,84612,"39.2","38.2","40.3"
"9888","IN",18,129,"Posey County, Indiana",25567,12708,12859,"42.5","42.1","43.2"
"9889","IN",18,131,"Pulaski County, Indiana",13047,6623,6424,"41.3","40.1","43.7"
"9890","IN",18,133,"Putnam County, Indiana",37650,19967,17683,"37.5","36.4","39.3"
"9891","IN",18,135,"Randolph County, Indiana",25596,12487,13109,"42.2","40.7","43.4"
"9892","IN",18,137,"Ripley County, Indiana",28612,14064,14548,"40.4","38.9","41.7"
"9893","IN",18,139,"Rush County, Indiana",16991,8414,8577,"41.3","40.1","42.3"
"9894","IN",18,141,"St. Joseph County, Indiana",267246,129457,137789,"36.5","35.3","37.6"
"9895","IN",18,143,"Scott County, Indiana",23783,11685,12098,"40.3","39.6","40.6"
"9896","IN",18,145,"Shelby County, Indiana",44441,21899,22542,"41.0","39.9","42.0"
"9897","IN",18,147,"Spencer County, Indiana",20856,10557,10299,"42.7","42.4","42.9"
"9898","IN",18,149,"Starke County, Indiana",23117,11395,11722,"41.6","41.1","42.3"
"9899","IN",18,151,"Steuben County, Indiana",34267,17379,16888,"41.7","40.5","42.9"
"9900","IN",18,153,"Sullivan County, Indiana",21111,11540,9571,"40.8","39.2","42.6"
"9901","IN",18,155,"Switzerland County, Indiana",10500,5443,5057,"40.1","38.9","41.0"
"9902","IN",18,157,"Tippecanoe County, Indiana",180952,92366,88586,"27.9","26.6","29.7"
"9903","IN",18,159,"Tipton County, Indiana",15573,7776,7797,"43.8","42.0","45.6"
"9904","IN",18,161,"Union County, Indiana",7299,3681,3618,"42.1","38.8","44.2"
"9905","IN",18,163,"Vanderburgh County, Indiana",181305,87661,93644,"37.8","36.5","39.3"
"9906","IN",18,165,"Vermillion County, Indiana",15860,7785,8075,"42.9","41.9","44.5"
"9907","IN",18,167,"Vigo County, Indiana",108268,54952,53316,"36.0","34.7","37.9"
"9908","IN",18,169,"Wabash County, Indiana",32358,15894,16464,"42.4","40.1","44.0"
"9909","IN",18,171,"Warren County, Indiana",8367,4159,4208,"44.1","43.5","44.5"
"9910","IN",18,173,"Warrick County, Indiana",60995,30171,30824,"40.6","38.7","42.1"
"9911","IN",18,175,"Washington County, Indiana",27930,13867,14063,"40.7","39.0","42.8"
"9912","IN",18,177,"Wayne County, Indiana",67866,32924,34942,"40.9","39.3","42.6"
"9913","IN",18,179,"Wells County, Indiana",27796,13709,14087,"41.2","39.6","42.4"
"9914","IN",18,181,"White County, Indiana",24388,12107,12281,"42.0","41.0","43.0"
"9915","IN",18,183,"Whitley County, Indiana",33330,16667,16663,"41.0","40.0","42.2"
"10655","KS",20,1,"Allen County, Kansas",13081,6441,6640,"41.2","39.9","43.4"
"10656","KS",20,3,"Anderson County, Kansas",7896,3921,3975,"41.7","40.4","42.7"
"10657","KS",20,5,"Atchison County, Kansas",16633,7977,8656,"35.9","34.1","37.4"
"10658","KS",20,7,"Barber County, Kansas",4770,2396,2374,"44.9","45.3","44.7"
"10659","KS",20,9,"Barton County, Kansas",27399,13307,14092,"39.3","38.5","40.5"
"10660","KS",20,11,"Bourbon County, Kansas",14812,7324,7488,"37.3","34.0","40.7"
"10661","KS",20,13,"Brown County, Kansas",9880,4808,5072,"42.5","41.4","43.5"
"10662","KS",20,15,"Butler County, Kansas",66092,33192,32900,"37.8","36.5","38.7"
"10663","KS",20,17,"Chase County, Kansas",2722,1348,1374,"46.2","45.0","47.6"
"10664","KS",20,19,"Chautauqua County, Kansas",3520,1804,1716,"49.1","46.8","51.0"
"10665","KS",20,21,"Cherokee County, Kansas",20952,10337,10615,"41.4","40.7","41.9"
"10666","KS",20,23,"Cheyenne County, Kansas",2682,1352,1330,"49.6","46.4","52.5"
"10667","KS",20,25,"Clark County, Kansas",2145,1055,1090,"44.4","42.2","44.8"
"10668","KS",20,27,"Clay County, Kansas",8421,4145,4276,"42.2","41.1","44.1"
"10669","KS",20,29,"Cloud County, Kansas",9339,4650,4689,"42.3","40.1","45.5"
"10670","KS",20,31,"Coffey County, Kansas",8458,4246,4212,"44.1","42.9","44.6"
"10671","KS",20,33,"Comanche County, Kansas",2010,1020,990,"45.7","43.8","49.2"
"10672","KS",20,35,"Cowley County, Kansas",36079,18184,17895,"38.2","36.5","40.0"
"10673","KS",20,37,"Crawford County, Kansas",39304,19733,19571,"32.6","30.6","34.9"
"10674","KS",20,39,"Decatur County, Kansas",2905,1455,1450,"52.3","51.9","52.8"
"10675","KS",20,41,"Dickinson County, Kansas",19516,9716,9800,"41.7","41.2","42.3"
"10676","KS",20,43,"Doniphan County, Kansas",7859,3992,3867,"38.8","37.3","40.5"
"10677","KS",20,45,"Douglas County, Kansas",114967,57490,57477,"28.8","28.0","29.7"
"10678","KS",20,47,"Edwards County, Kansas",2991,1528,1463,"45.2","45.2","45.3"
"10679","KS",20,49,"Elk County, Kansas",2683,1339,1344,"50.4","49.1","52.2"
"10680","KS",20,51,"Ellis County, Kansas",28993,14452,14541,"32.2","31.0","33.8"
"10681","KS",20,53,"Ellsworth County, Kansas",6410,3630,2780,"44.2","41.1","48.8"
"10682","KS",20,55,"Finney County, Kansas",37133,18884,18249,"30.4","29.3","31.4"
"10683","KS",20,57,"Ford County, Kansas",34714,17906,16808,"30.9","30.5","31.2"
"10684","KS",20,59,"Franklin County, Kansas",25753,12675,13078,"39.0","36.9","40.5"
"10685","KS",20,61,"Geary County, Kansas",36787,19166,17621,"26.2","25.5","27.0"
"10686","KS",20,63,"Gove County, Kansas",2735,1385,1350,"47.4","45.3","50.1"
"10687","KS",20,65,"Graham County, Kansas",2593,1258,1335,"49.8","49.0","51.9"
"10688","KS",20,67,"Grant County, Kansas",7816,3957,3859,"32.8","32.4","33.2"
"10689","KS",20,69,"Gray County, Kansas",6065,2985,3080,"36.1","36.8","35.0"
"10690","KS",20,71,"Greeley County, Kansas",1224,611,613,"49.4","48.7","49.9"
"10691","KS",20,73,"Greenwood County, Kansas",6393,3120,3273,"48.0","48.0","48.0"
"10692","KS",20,75,"Hamilton County, Kansas",2586,1342,1244,"38.0","35.8","39.1"
"10693","KS",20,77,"Harper County, Kansas",5861,2954,2907,"43.0","39.7","46.7"
"10694","KS",20,79,"Harvey County, Kansas",34835,17026,17809,"38.6","37.7","39.3"
"10695","KS",20,81,"Haskell County, Kansas",4130,2078,2052,"36.1","32.6","38.5"
"10696","KS",20,83,"Hodgeman County, Kansas",1939,972,967,"47.8","46.3","49.3"
"10697","KS",20,85,"Jackson County, Kansas",13400,6667,6733,"40.8","39.4","42.5"
"10698","KS",20,87,"Jefferson County, Kansas",18898,9610,9288,"43.5","42.6","44.6"
"10699","KS",20,89,"Jewell County, Kansas",3038,1516,1522,"52.1","50.7","52.8"
"10700","KS",20,91,"Johnson County, Kansas",566814,277330,289484,"36.8","35.6","38.1"
"10701","KS",20,93,"Kearny County, Kansas",3952,2125,1827,"34.8","30.6","39.3"
"10702","KS",20,95,"Kingman County, Kansas",7790,3926,3864,"45.2","41.7","46.8"
"10703","KS",20,97,"Kiowa County, Kansas",2536,1245,1291,"41.7","41.3","42.4"
"10704","KS",20,99,"Labette County, Kansas",21048,10378,10670,"40.6","38.6","42.5"
"10705","KS",20,101,"Lane County, Kansas",1674,817,857,"44.6","44.7","44.4"
"10706","KS",20,103,"Leavenworth County, Kansas",78227,41806,36421,"37.3","36.4","38.6"
"10707","KS",20,105,"Lincoln County, Kansas",3154,1566,1588,"46.2","43.8","47.9"
"10708","KS",20,107,"Linn County, Kansas",9528,4659,4869,"43.7","44.3","42.9"
"10709","KS",20,109,"Logan County, Kansas",2793,1406,1387,"42.2","40.6","45.7"
"10710","KS",20,111,"Lyon County, Kansas",33462,16262,17200,"32.5","32.5","32.4"
"10711","KS",20,113,"McPherson County, Kansas",29252,14511,14741,"42.0","40.2","43.6"
"10712","KS",20,115,"Marion County, Kansas",12290,6087,6203,"45.0","43.7","46.0"
"10713","KS",20,117,"Marshall County, Kansas",10005,4998,5007,"45.0","43.3","46.3"
"10714","KS",20,119,"Meade County, Kansas",4383,2258,2125,"39.8","36.5","42.4"
"10715","KS",20,121,"Miami County, Kansas",32688,16097,16591,"40.4","39.5","41.4"
"10716","KS",20,123,"Mitchell County, Kansas",6296,3208,3088,"44.4","40.8","48.0"
"10717","KS",20,125,"Montgomery County, Kansas",34184,16851,17333,"39.4","37.0","41.9"
"10718","KS",20,127,"Morris County, Kansas",5750,2855,2895,"47.6","46.6","49.5"
"10719","KS",20,129,"Morton County, Kansas",3106,1648,1458,"41.6","38.3","46.3"
"10720","KS",20,131,"Nemaha County, Kansas",10159,5107,5052,"41.6","39.7","43.6"
"10721","KS",20,133,"Neosho County, Kansas",16423,8055,8368,"40.0","39.7","40.6"
"10722","KS",20,135,"Ness County, Kansas",3077,1561,1516,"49.2","46.0","51.9"
"10723","KS",20,137,"Norton County, Kansas",5590,3182,2408,"44.0","42.1","48.5"
"10724","KS",20,139,"Osage County, Kansas",16080,8018,8062,"42.6","42.2","42.9"
"10725","KS",20,141,"Osborne County, Kansas",3782,1874,1908,"48.5","46.5","49.7"
"10726","KS",20,143,"Ottawa County, Kansas",6048,3134,2914,"42.2","39.5","45.4"
"10727","KS",20,145,"Pawnee County, Kansas",6911,3966,2945,"43.1","41.5","48.2"
"10728","KS",20,147,"Phillips County, Kansas",5501,2686,2815,"44.7","44.2","45.5"
"10729","KS",20,149,"Pottawatomie County, Kansas",22625,11209,11416,"34.7","34.7","34.6"
"10730","KS",20,151,"Pratt County, Kansas",9739,4873,4866,"39.1","35.0","42.6"
"10731","KS",20,153,"Rawlins County, Kansas",2545,1293,1252,"50.9","48.7","52.4"
"10732","KS",20,155,"Reno County, Kansas",64058,32262,31796,"39.5","37.6","42.3"
"10733","KS",20,157,"Republic County, Kansas",4806,2355,2451,"50.9","50.0","51.7"
"10734","KS",20,159,"Rice County, Kansas",10014,5053,4961,"37.9","35.3","41.9"
"10735","KS",20,161,"Riley County, Kansas",75022,40002,35020,"24.7","24.5","25.3"
"10736","KS",20,163,"Rooks County, Kansas",5186,2537,2649,"43.9","43.2","45.3"
"10737","KS",20,165,"Rush County, Kansas",3184,1593,1591,"48.8","48.1","49.8"
"10738","KS",20,167,"Russell County, Kansas",6988,3516,3472,"47.1","43.8","48.5"
"10739","KS",20,169,"Saline County, Kansas",55735,27546,28189,"37.7","36.8","39.1"
"10740","KS",20,171,"Scott County, Kansas",4928,2399,2529,"42.0","40.7","43.4"
"10741","KS",20,173,"Sedgwick County, Kansas",506529,250929,255600,"34.6","33.4","35.7"
"10742","KS",20,175,"Seward County, Kansas",23274,11839,11435,"29.4","29.2","29.6"
"10743","KS",20,177,"Shawnee County, Kansas",178792,86783,92009,"38.8","37.4","40.1"
"10744","KS",20,179,"Sheridan County, Kansas",2531,1321,1210,"45.7","43.1","48.3"
"10745","KS",20,181,"Sherman County, Kansas",6054,2933,3121,"38.4","39.4","36.8"
"10746","KS",20,183,"Smith County, Kansas",3740,1835,1905,"50.7","50.3","50.9"
"10747","KS",20,185,"Stafford County, Kansas",4320,2161,2159,"43.7","42.3","45.2"
"10748","KS",20,187,"Stanton County, Kansas",2149,993,1156,"35.7","36.9","33.6"
"10749","KS",20,189,"Stevens County, Kansas",5772,2920,2852,"34.9","34.3","37.0"
"10750","KS",20,191,"Sumner County, Kansas",23638,11694,11944,"40.8","39.4","41.7"
"10751","KS",20,193,"Thomas County, Kansas",7925,3900,4025,"35.3","34.2","37.2"
"10752","KS",20,195,"Trego County, Kansas",2951,1435,1516,"49.1","48.8","49.4"
"10753","KS",20,197,"Wabaunsee County, Kansas",6997,3559,3438,"42.1","41.9","43.0"
"10754","KS",20,199,"Wallace County, Kansas",1595,789,806,"41.8","43.4","38.8"
"10755","KS",20,201,"Washington County, Kansas",5686,2885,2801,"46.3","44.1","48.4"
"10756","KS",20,203,"Wichita County, Kansas",2204,1150,1054,"35.7","34.5","40.5"
"10757","KS",20,205,"Wilson County, Kansas",9061,4477,4584,"43.8","42.1","46.1"
"10758","KS",20,207,"Woodson County, Kansas",3211,1606,1605,"47.4","46.9","48.6"
"10759","KS",20,209,"Wyandotte County, Kansas",160806,79445,81361,"33.3","32.4","34.2"
"11469","KY",21,1,"Adair County, Kentucky",18852,9308,9544,"41.0","39.1","42.5"
"11470","KY",21,3,"Allen County, Kentucky",20355,10014,10341,"40.3","39.6","42.0"
"11471","KY",21,5,"Anderson County, Kentucky",21761,10599,11162,"39.9","38.5","40.7"
"11472","KY",21,7,"Ballard County, Kentucky",8256,4098,4158,"42.8","41.5","44.2"
"11473","KY",21,9,"Barren County, Kentucky",42925,20895,22030,"40.4","39.0","42.0"
"11474","KY",21,11,"Bath County, Kentucky",11978,5947,6031,"40.4","39.5","40.7"
"11475","KY",21,13,"Bell County, Kentucky",27950,13581,14369,"41.1","39.2","42.5"
"11476","KY",21,15,"Boone County, Kentucky",124617,61530,63087,"36.2","35.7","36.6"
"11477","KY",21,17,"Bourbon County, Kentucky",20013,9878,10135,"41.1","40.0","43.3"
"11478","KY",21,19,"Boyd County, Kentucky",48917,24241,24676,"41.9","40.5","43.4"
"11479","KY",21,21,"Boyle County, Kentucky",29388,14607,14781,"41.0","38.8","42.8"
"11480","KY",21,23,"Bracken County, Kentucky",8425,4203,4222,"41.0","39.8","41.5"
"11481","KY",21,25,"Breathitt County, Kentucky",13591,6829,6762,"40.7","39.4","42.9"
"11482","KY",21,27,"Breckinridge County, Kentucky",20061,9945,10116,"42.5","41.1","43.8"
"11483","KY",21,29,"Bullitt County, Kentucky",76961,38049,38912,"39.3","38.5","39.7"
"11484","KY",21,31,"Butler County, Kentucky",12835,6450,6385,"41.2","40.1","42.1"
"11485","KY",21,33,"Caldwell County, Kentucky",12826,6191,6635,"42.6","42.3","42.9"
"11486","KY",21,35,"Calloway County, Kentucky",38106,18379,19727,"33.7","33.5","34.2"
"11487","KY",21,37,"Campbell County, Kentucky",91475,44858,46617,"37.3","35.9","38.5"
"11488","KY",21,39,"Carlisle County, Kentucky",4984,2402,2582,"42.3","41.5","43.1"
"11489","KY",21,41,"Carroll County, Kentucky",10830,5590,5240,"36.9","35.3","38.8"
"11490","KY",21,43,"Carter County, Kentucky",27326,13502,13824,"40.1","38.9","41.2"
"11491","KY",21,45,"Casey County, Kentucky",15954,7857,8097,"42.1","40.8","43.3"
"11492","KY",21,47,"Christian County, Kentucky",74159,38891,35268,"28.5","26.6","31.1"
"11493","KY",21,49,"Clark County, Kentucky",35657,17464,18193,"41.7","39.6","43.0"
"11494","KY",21,51,"Clay County, Kentucky",21300,11415,9885,"39.1","37.1","41.4"
"11495","KY",21,53,"Clinton County, Kentucky",10188,5052,5136,"40.7","40.7","40.8"
"11496","KY",21,55,"Crittenden County, Kentucky",9222,4625,4597,"43.0","42.4","43.8"
"11497","KY",21,57,"Cumberland County, Kentucky",6807,3313,3494,"44.8","44.4","45.0"
"11498","KY",21,59,"Daviess County, Kentucky",98173,47590,50583,"39.1","37.2","40.7"
"11499","KY",21,61,"Edmonson County, Kentucky",12105,6077,6028,"42.5","41.3","43.7"
"11500","KY",21,63,"Elliott County, Kentucky",7725,4345,3380,"41.7","40.7","44.7"
"11501","KY",21,65,"Estill County, Kentucky",14476,7118,7358,"42.7","42.0","43.8"
"11502","KY",21,67,"Fayette County, Kentucky",308306,151459,156847,"34.1","33.1","35.1"
"11503","KY",21,69,"Fleming County, Kentucky",14544,7179,7365,"40.4","39.3","41.1"
"11504","KY",21,71,"Floyd County, Kentucky",38649,19048,19601,"40.5","38.8","42.3"
