"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"1181","AR",5,149,"Yell County, Arkansas",21835,10804,11031,"39.1","36.6","41.3"
"1761","AZ",4,1,"Apache County, Arizona",72124,35663,36461,"33.4","32.3","34.4"
"1762","AZ",4,3,"Cochise County, Arizona",129647,66100,63547,"40.0","38.2","41.8"
"1763","AZ",4,5,"Coconino County, Arizona",136701,67553,69148,"30.8","30.7","31.0"
"1764","AZ",4,7,"Gila County, Arizona",53165,26436,26729,"48.6","47.4","50.1"
"1765","AZ",4,9,"Graham County, Arizona",37407,20049,17358,"32.0","32.5","31.7"
"1766","AZ",4,11,"Greenlee County, Arizona",9023,4748,4275,"33.0","32.5","34.0"
"1767","AZ",4,12,"La Paz County, Arizona",20335,10378,9957,"54.8","54.8","54.9"
"1768","AZ",4,13,"Maricopa County, Arizona",4018143,1986158,2031985,"35.6","34.5","36.8"
"1769","AZ",4,15,"Mohave County, Arizona",203362,102371,100991,"49.2","48.3","50.0"
"1770","AZ",4,17,"Navajo County, Arizona",107656,53984,53672,"35.7","34.5","37.0"
"1771","AZ",4,19,"Pima County, Arizona",998537,491108,507429,"38.0","36.5","39.7"
"1772","AZ",4,21,"Pinal County, Arizona",389772,202502,187270,"37.6","36.9","38.5"
"1773","AZ",4,23,"Santa Cruz County, Arizona",47073,22566,24507,"36.5","33.5","38.9"
"1774","AZ",4,25,"Yavapai County, Arizona",215996,105693,110303,"51.3","49.9","52.7"
"1775","AZ",4,27,"Yuma County, Arizona",202987,103779,99208,"33.8","32.3","35.8"
"2259","CA",6,1,"Alameda County, California",1584983,776699,808284,"37.1","36.2","38.1"
"2260","CA",6,3,"Alpine County, California",1131,654,477,"43.6","36.9","47.1"
"2261","CA",6,5,"Amador County, California",36995,20012,16983,"50.0","47.9","52.6"
"2262","CA",6,7,"Butte County, California",222564,110115,112449,"36.8","35.2","39.1"
"2263","CA",6,9,"Calaveras County, California",44767,22143,22624,"50.7","50.0","51.4"
"2264","CA",6,11,"Colusa County, California",21396,11129,10267,"34.0","33.1","35.0"
"2265","CA",6,13,"Contra Costa County, California",1096068,534618,561450,"38.8","37.5","40.1"
"2266","CA",6,15,"Del Norte County, California",27788,15418,12370,"38.8","37.2","44.5"
"2267","CA",6,17,"El Dorado County, California",182093,90970,91123,"44.9","43.8","45.7"
"2268","CA",6,19,"Fresno County, California",956749,477316,479433,"31.4","30.5","32.3"
"2269","CA",6,21,"Glenn County, California",28029,14168,13861,"37.2","35.6","38.5"
"2270","CA",6,23,"Humboldt County, California",135034,67533,67501,"37.4","36.6","38.3"
"2271","CA",6,25,"Imperial County, California",178206,91167,87039,"32.2","31.0","33.6"
"2272","CA",6,27,"Inyo County, California",18373,9214,9159,"45.7","44.5","47.7"
"2273","CA",6,29,"Kern County, California",865736,444547,421189,"31.1","30.5","31.7"
"2274","CA",6,31,"Kings County, California",150998,83958,67040,"31.4","32.2","30.4"
"2275","CA",6,33,"Lake County, California",64158,32146,32012,"45.5","44.4","46.8"
"2276","CA",6,35,"Lassen County, California",32645,21818,10827,"37.0","34.7","44.2"
"2277","CA",6,37,"Los Angeles County, California",10038388,4945351,5093037,"35.6","34.4","36.8"
"2278","CA",6,39,"Madera County, California",153187,73863,79324,"33.5","32.2","34.5"
"2279","CA",6,41,"Marin County, California",258349,126460,131889,"45.4","43.7","46.9"
"2280","CA",6,43,"Mariposa County, California",17789,8931,8858,"50.6","50.6","50.6"
"2281","CA",6,45,"Mendocino County, California",87544,43827,43717,"42.2","40.6","44.0"
"2282","CA",6,47,"Merced County, California",263885,133152,130733,"30.4","29.6","31.0"
"2283","CA",6,49,"Modoc County, California",9184,4664,4520,"47.8","47.6","48.2"
"2284","CA",6,51,"Mono County, California",14146,7311,6835,"38.5","40.2","36.1"
"2285","CA",6,53,"Monterey County, California",428441,219299,209142,"33.5","32.8","34.3"
"2286","CA",6,55,"Napa County, California",140295,69798,70497,"40.3","39.0","41.7"
"2287","CA",6,57,"Nevada County, California",98570,48668,49902,"49.0","47.5","50.5"
