"","State","StateFIPS","CountyFIPS","AreaName","Poverty"
"4830","FL",12,123,"Taylor County, Florida",2720
"4831","FL",12,125,"Union County, Florida",2002
"4832","FL",12,127,"Volusia County, Florida",85881
"4833","FL",12,129,"Wakulla County, Florida",4101
"4834","FL",12,131,"Walton County, Florida",9804
"4835","FL",12,133,"Washington County, Florida",4723
"5822","GA",13,1,"Appling County, Georgia",3745
"5823","GA",13,3,"Atkinson County, Georgia",2370
"5824","GA",13,5,"Bacon County, Georgia",1919
"5825","GA",13,7,"Baker County, Georgia",752
"5826","GA",13,9,"Baldwin County, Georgia",13201
"5827","GA",13,11,"Banks County, Georgia",3026
"5828","GA",13,13,"Barrow County, Georgia",10902
"5829","GA",13,15,"Bartow County, Georgia",15819
"5830","GA",13,17,"Ben Hill County, Georgia",6024
"5831","GA",13,19,"Berrien County, Georgia",4923
"5832","GA",13,21,"Bibb County, Georgia",40611
"5833","GA",13,23,"Bleckley County, Georgia",2616
"5834","GA",13,25,"Brantley County, Georgia",3812
"5835","GA",13,27,"Brooks County, Georgia",4265
"5836","GA",13,29,"Bryan County, Georgia",4487
"5837","GA",13,31,"Bulloch County, Georgia",21794
"5838","GA",13,33,"Burke County, Georgia",7131
"5839","GA",13,35,"Butts County, Georgia",4329
"5840","GA",13,37,"Calhoun County, Georgia",1924
"5841","GA",13,39,"Camden County, Georgia",6365
"5842","GA",13,43,"Candler County, Georgia",3398
"5843","GA",13,45,"Carroll County, Georgia",22441
"5844","GA",13,47,"Catoosa County, Georgia",8061
"5845","GA",13,49,"Charlton County, Georgia",2010
"5846","GA",13,51,"Chatham County, Georgia",50980
"5847","GA",13,53,"Chattahoochee County, Georgia",960
"5848","GA",13,55,"Chattooga County, Georgia",5488
"5849","GA",13,57,"Cherokee County, Georgia",24273
"5850","GA",13,59,"Clarke County, Georgia",40559
"5851","GA",13,61,"Clay County, Georgia",1285
"5852","GA",13,63,"Clayton County, Georgia",65787
"5853","GA",13,65,"Clinch County, Georgia",2339
"5854","GA",13,67,"Cobb County, Georgia",87880
"5855","GA",13,69,"Coffee County, Georgia",9975
"5856","GA",13,71,"Colquitt County, Georgia",12086
"5857","GA",13,73,"Columbia County, Georgia",12517
"5858","GA",13,75,"Cook County, Georgia",4244
"5859","GA",13,77,"Coweta County, Georgia",17489
"5860","GA",13,79,"Crawford County, Georgia",2122
"5861","GA",13,81,"Crisp County, Georgia",7468
"5862","GA",13,83,"Dade County, Georgia",2300
"5863","GA",13,85,"Dawson County, Georgia",3156
"5864","GA",13,87,"Decatur County, Georgia",7418
"5865","GA",13,89,"DeKalb County, Georgia",135469
"5866","GA",13,91,"Dodge County, Georgia",4279
"5867","GA",13,93,"Dooly County, Georgia",3673
"5868","GA",13,95,"Dougherty County, Georgia",27557
"5869","GA",13,97,"Douglas County, Georgia",22118
"5870","GA",13,99,"Early County, Georgia",2916
"5871","GA",13,101,"Echols County, Georgia",1170
"5872","GA",13,103,"Effingham County, Georgia",5749
"5873","GA",13,105,"Elbert County, Georgia",3664
"5874","GA",13,107,"Emanuel County, Georgia",6700
"5875","GA",13,109,"Evans County, Georgia",2857
"5876","GA",13,111,"Fannin County, Georgia",5404
"5877","GA",13,113,"Fayette County, Georgia",9129
"5878","GA",13,115,"Floyd County, Georgia",19605
"5879","GA",13,117,"Forsyth County, Georgia",13547
"5880","GA",13,119,"Franklin County, Georgia",5122
"5881","GA",13,121,"Fulton County, Georgia",167391
"5882","GA",13,123,"Gilmer County, Georgia",6664
"5883","GA",13,125,"Glascock County, Georgia",483
"5884","GA",13,127,"Glynn County, Georgia",14981
"5885","GA",13,129,"Gordon County, Georgia",11188
"5886","GA",13,131,"Grady County, Georgia",7648
"5887","GA",13,133,"Greene County, Georgia",4033
"5888","GA",13,135,"Gwinnett County, Georgia",117553
"5889","GA",13,137,"Habersham County, Georgia",7220
"5890","GA",13,139,"Hall County, Georgia",34120
"5891","GA",13,141,"Hancock County, Georgia",2113
"5892","GA",13,143,"Haralson County, Georgia",5724
"5893","GA",13,145,"Harris County, Georgia",2991
"5894","GA",13,147,"Hart County, Georgia",5403
"5895","GA",13,149,"Heard County, Georgia",2349
"5896","GA",13,151,"Henry County, Georgia",27162
"5897","GA",13,153,"Houston County, Georgia",25111
"5898","GA",13,155,"Irwin County, Georgia",2300
"5899","GA",13,157,"Jackson County, Georgia",8314
"5900","GA",13,159,"Jasper County, Georgia",2785
"5901","GA",13,161,"Jeff Davis County, Georgia",3309
"5902","GA",13,163,"Jefferson County, Georgia",4889
"5903","GA",13,165,"Jenkins County, Georgia",2984
"5904","GA",13,167,"Johnson County, Georgia",2125
"5905","GA",13,169,"Jones County, Georgia",4770
"5906","GA",13,171,"Lamar County, Georgia",3713
"5907","GA",13,173,"Lanier County, Georgia",2675
"5908","GA",13,175,"Laurens County, Georgia",12823
"5909","GA",13,177,"Lee County, Georgia",3417
"5910","GA",13,179,"Liberty County, Georgia",11047
"5911","GA",13,181,"Lincoln County, Georgia",1912
"5912","GA",13,183,"Long County, Georgia",2936
"5913","GA",13,185,"Lowndes County, Georgia",28907
"5914","GA",13,187,"Lumpkin County, Georgia",5559
"5915","GA",13,189,"McDuffie County, Georgia",5410
"5916","GA",13,191,"McIntosh County, Georgia",2956
"5917","GA",13,193,"Macon County, Georgia",3639
"5918","GA",13,195,"Madison County, Georgia",4798
"5919","GA",13,197,"Marion County, Georgia",1836
"5920","GA",13,199,"Meriwether County, Georgia",4733
"5921","GA",13,201,"Miller County, Georgia",1608
"5922","GA",13,205,"Mitchell County, Georgia",5905
"5923","GA",13,207,"Monroe County, Georgia",3492
"5924","GA",13,209,"Montgomery County, Georgia",2076
"5925","GA",13,211,"Morgan County, Georgia",2529
"5926","GA",13,213,"Murray County, Georgia",7765
"5927","GA",13,215,"Muscogee County, Georgia",38921
"5928","GA",13,217,"Newton County, Georgia",17281
"5929","GA",13,219,"Oconee County, Georgia",2487
"5930","GA",13,221,"Oglethorpe County, Georgia",2316
"5931","GA",13,223,"Paulding County, Georgia",18445
"5932","GA",13,225,"Peach County, Georgia",5471
"5933","GA",13,227,"Pickens County, Georgia",3418
"5934","GA",13,229,"Pierce County, Georgia",4455
"5935","GA",13,231,"Pike County, Georgia",2132
"5936","GA",13,233,"Polk County, Georgia",8767
"5937","GA",13,235,"Pulaski County, Georgia",1929
"5938","GA",13,237,"Putnam County, Georgia",3446
"5939","GA",13,239,"Quitman County, Georgia",558
"5940","GA",13,241,"Rabun County, Georgia",3458
"5941","GA",13,243,"Randolph County, Georgia",2145
"5942","GA",13,245,"Richmond County, Georgia",48498
"5943","GA",13,247,"Rockdale County, Georgia",14155
"5944","GA",13,249,"Schley County, Georgia",1187
"5945","GA",13,251,"Screven County, Georgia",3482
"5946","GA",13,253,"Seminole County, Georgia",1595
"5947","GA",13,255,"Spalding County, Georgia",14238
"5948","GA",13,257,"Stephens County, Georgia",4707
"5949","GA",13,259,"Stewart County, Georgia",1645
"5950","GA",13,261,"Sumter County, Georgia",9741
"5951","GA",13,263,"Talbot County, Georgia",1291
"5952","GA",13,265,"Taliaferro County, Georgia",511
"5953","GA",13,267,"Tattnall County, Georgia",5646
"5954","GA",13,269,"Taylor County, Georgia",2351
"5955","GA",13,271,"Telfair County, Georgia",3565
"5956","GA",13,273,"Terrell County, Georgia",3216
"5957","GA",13,275,"Thomas County, Georgia",10335
"5958","GA",13,277,"Tift County, Georgia",11372
"5959","GA",13,279,"Toombs County, Georgia",6674
"5960","GA",13,281,"Towns County, Georgia",1862
"5961","GA",13,283,"Treutlen County, Georgia",1242
"5962","GA",13,285,"Troup County, Georgia",14388
"5963","GA",13,287,"Turner County, Georgia",2027
"5964","GA",13,289,"Twiggs County, Georgia",2324
"5965","GA",13,291,"Union County, Georgia",2860
"5966","GA",13,293,"Upson County, Georgia",6137
"5967","GA",13,295,"Walker County, Georgia",11818
"5968","GA",13,297,"Walton County, Georgia",11801
"5969","GA",13,299,"Ware County, Georgia",9686
"5970","GA",13,301,"Warren County, Georgia",1485
"5971","GA",13,303,"Washington County, Georgia",4961
"5972","GA",13,305,"Wayne County, Georgia",5633
