,State,StateFIPS,CountyFIPS,AreaName,Median Income
1180,AR,5,147,"Woodruff County, Arkansas",28993
1181,AR,5,149,"Yell County, Arkansas",37804
1761,AZ,4,1,"Apache County, Arizona",31757
1762,AZ,4,3,"Cochise County, Arizona",45075
1763,AZ,4,5,"Coconino County, Arizona",50234
1764,AZ,4,7,"Gila County, Arizona",39751
1765,AZ,4,9,"Graham County, Arizona",45964
1766,AZ,4,11,"Greenlee County, Arizona",51628
1767,AZ,4,12,"La Paz County, Arizona",34466
1768,AZ,4,13,"Maricopa County, Arizona",54229
1769,AZ,4,15,"Mohave County, Arizona",38488
1770,AZ,4,17,"Navajo County, Arizona",35921
1771,AZ,4,19,"Pima County, Arizona",46162
1772,AZ,4,21,"Pinal County, Arizona",49477
1773,AZ,4,23,"Santa Cruz County, Arizona",40140
1774,AZ,4,25,"Yavapai County, Arizona",44748
1775,AZ,4,27,"Yuma County, Arizona",40743
2259,CA,6,1,"Alameda County, California",75619
2260,CA,6,3,"Alpine County, California",52917
2261,CA,6,5,"Amador County, California",54171
2262,CA,6,7,"Butte County, California",43444
2263,CA,6,9,"Calaveras County, California",53233
2264,CA,6,11,"Colusa County, California",52168
2265,CA,6,13,"Contra Costa County, California",80185
2266,CA,6,15,"Del Norte County, California",40847
2267,CA,6,17,"El Dorado County, California",69584
2268,CA,6,19,"Fresno County, California",45233
2269,CA,6,21,"Glenn County, California",39349
2270,CA,6,23,"Humboldt County, California",42197
2271,CA,6,25,"Imperial County, California",41079
2272,CA,6,27,"Inyo County, California",45955
2273,CA,6,29,"Kern County, California",49026
2274,CA,6,31,"Kings County, California",46481
2275,CA,6,33,"Lake County, California",35578
2276,CA,6,35,"Lassen County, California",51555
2277,CA,6,37,"Los Angeles County, California",56196
2278,CA,6,39,"Madera County, California",45073
2279,CA,6,41,"Marin County, California",93257
2280,CA,6,43,"Mariposa County, California",47681
2281,CA,6,45,"Mendocino County, California",42980
2282,CA,6,47,"Merced County, California",42462
2283,CA,6,49,"Modoc County, California",37860
2284,CA,6,51,"Mono County, California",56944
2285,CA,6,53,"Monterey County, California",58783
2286,CA,6,55,"Napa County, California",71379
2287,CA,6,57,"Nevada County, California",56521
2288,CA,6,59,"Orange County, California",76509
2289,CA,6,61,"Placer County, California",73948
2290,CA,6,63,"Plumas County, California",47333
2291,CA,6,65,"Riverside County, California",56603
2292,CA,6,67,"Sacramento County, California",55987
2293,CA,6,69,"San Benito County, California",71077
2294,CA,6,71,"San Bernardino County, California",53433
2295,CA,6,73,"San Diego County, California",64309
2296,CA,6,75,"San Francisco County, California",81294
2297,CA,6,77,"San Joaquin County, California",53274
2298,CA,6,79,"San Luis Obispo County, California",60691
2299,CA,6,81,"San Mateo County, California",93623
